ID,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Monetary,Frequency,TotalKids,R_rank_norm,F_rank_norm,M_rank_norm,RFM_Score,Customer_segment
5524,Bachelor,Single,58138.0,0,0,2012-04-09,58,635,81,546,120.5,81,88.0,3,8,10,4.0,7,0,0,0,0,0,0,1,66,1617.0,25.0,0,40.69,89.26,92.01,4.18,Potential Loyalists
2174,Bachelor,Single,46344.0,1,1,2014-08-03,38,11,1,6,2.0,1,6.0,2,1,1,2.0,5,0,0,0,0,0,0,0,69,27.0,6.0,2,61.35,15.45,7.06,0.88,Cannot Lose Them
4141,Bachelor,Together,71613.0,0,0,2013-08-21,26,426,49,127,111.0,21,42.0,1,8,2,10.0,4,0,0,0,0,0,0,0,58,776.0,21.0,0,73.57,75.04,64.66,3.45,New Customers
6182,Bachelor,Together,26646.0,1,0,2014-10-02,26,11,4,20,10.0,3,5.0,2,2,0,4.0,6,0,0,0,0,0,0,0,39,53.0,8.0,1,73.57,26.94,18.78,1.46,Cannot Lose Them
5324,Doctor,Married,58293.0,1,0,2014-01-19,94,173,43,118,46.0,27,15.0,5,5,3,6.0,5,0,0,0,0,0,0,0,42,422.0,19.0,1,5.23,66.47,51.8,2.45,at Risk Customers
7446,Master,Together,62513.0,0,1,2013-09-09,16,520,42,98,0.0,42,14.0,2,6,4,10.0,6,0,0,0,0,0,0,0,56,716.0,22.0,1,83.49,79.26,62.6,3.52,New Customers
965,Bachelor,Divorced,55635.0,0,1,2012-11-13,34,235,65,164,50.0,49,27.0,4,7,3,7.0,6,0,0,0,0,0,0,0,52,590.0,21.0,1,65.08,75.04,58.63,3.21,New Customers
6177,Doctor,Married,33454.0,1,0,2013-08-05,32,76,10,56,3.0,1,23.0,2,4,0,4.0,8,0,0,0,0,0,0,0,38,169.0,10.0,1,66.83,35.38,38.11,2.08,at Risk Customers
4855,Doctor,Together,30351.0,1,0,2013-06-06,19,14,0,24,3.0,3,2.0,1,3,0,2.0,9,0,0,0,0,0,0,1,49,46.0,6.0,1,80.71,15.45,15.76,1.27,Cannot Lose Them
5899,Doctor,Together,5648.0,1,1,2014-03-13,68,28,0,6,1.0,1,13.0,1,1,0,0.0,13,1,0,0,0,0,0,0,73,49.0,2.0,2,31.44,0.45,17.5,0.74,Cannot Lose Them
1994,Bachelor,Married,51382.0,1,0,2013-11-15,11,5,5,6,0.0,2,1.0,1,1,0,2.0,7,0,0,0,0,0,0,0,40,19.0,4.0,1,88.41,3.37,3.44,0.81,Cannot Lose Them
387,Diploma,Married,7500.0,0,0,2012-11-13,59,6,16,11,11.0,1,16.0,1,2,0,3.0,8,0,0,0,0,0,0,0,47,61.0,6.0,0,40.04,15.45,22.06,1.15,Cannot Lose Them
2125,Bachelor,Divorced,63033.0,0,0,2013-11-15,82,194,61,480,120.5,81,30.0,1,3,4,8.0,2,0,0,0,0,0,0,0,64,1102.0,16.0,0,17.13,53.26,77.23,3.08,New Customers
8180,Master,Divorced,59354.0,1,1,2013-11-15,53,233,2,53,3.0,5,14.0,3,6,1,5.0,6,0,0,0,0,0,0,0,71,310.0,15.0,2,46.55,49.35,46.26,2.36,at Risk Customers
2569,Bachelor,Married,17323.0,0,0,2012-10-10,38,3,14,17,6.0,1,5.0,1,1,0,3.0,8,0,0,0,0,0,0,0,36,46.0,5.0,0,61.35,9.46,15.76,1.04,Cannot Lose Them
2114,Doctor,Single,82800.0,0,0,2012-11-24,23,1006,22,115,59.0,68,45.0,1,7,6,12.0,3,0,0,1,1,0,0,1,77,1315.0,26.0,0,77.05,92.28,84.3,4.27,Potential Loyalists
9736,Bachelor,Married,41850.0,1,1,2012-12-24,51,53,5,19,2.0,13,4.0,3,3,0,3.0,8,0,0,0,0,0,0,0,43,96.0,9.0,2,48.62,31.32,31.21,1.69,at Risk Customers
4939,Bachelor,Together,37760.0,0,0,2012-08-31,20,84,5,38,120.5,12,28.0,2,4,1,6.0,7,0,0,0,0,0,0,0,77,317.0,13.0,0,79.68,44.26,46.97,2.56,at Risk Customers
6565,Master,Married,76995.0,0,1,2013-03-28,91,1012,80,498,0.0,16,126.5,2,11,4,9.0,5,0,0,0,1,0,0,0,74,1782.0,26.0,1,8.51,92.28,95.18,4.07,Potential Loyalists
2278,Master,Single,33812.0,1,0,2012-03-11,86,4,17,19,30.0,24,39.0,2,2,1,3.0,6,0,0,0,0,0,0,0,38,133.0,8.0,1,13.23,26.94,35.25,1.48,Cannot Lose Them
9360,Bachelor,Married,37040.0,0,0,2012-08-08,41,86,2,73,69.0,38,48.0,1,4,2,5.0,8,0,0,0,0,0,0,0,41,316.0,12.0,0,58.48,41.72,46.86,2.36,at Risk Customers
5376,Bachelor,Married,2447.0,1,0,2013-06-01,42,1,1,556,1.0,1,1.0,6,0,10,0.0,1,0,0,0,0,0,0,0,44,1730.0,40.5,1,57.69,99.96,94.46,4.52,Champions
1993,Doctor,Married,58607.0,0,1,2012-12-23,63,867,0,86,0.0,0,19.0,3,2,3,9.0,8,0,1,0,0,0,0,0,74,972.0,17.0,1,36.42,58.1,71.94,3.14,New Customers
4047,Doctor,Married,65324.0,0,1,2014-11-01,0,384,0,102,21.0,32,5.0,3,6,2,9.0,4,0,0,0,0,0,0,0,69,544.0,20.0,1,100.0,70.83,57.0,3.37,New Customers
1409,Bachelor,Together,40689.0,0,1,2013-03-18,69,270,3,27,39.0,6,99.0,6,7,1,5.0,8,0,0,0,0,0,0,0,72,444.0,20.0,1,30.52,70.83,53.07,2.73,at Risk Customers
7892,Bachelor,Single,18589.0,0,0,2013-02-01,89,6,4,25,15.0,12,13.0,2,2,1,3.0,7,0,0,0,0,0,0,0,54,75.0,8.0,0,10.26,26.94,26.86,1.22,Cannot Lose Them
2404,Bachelor,Married,53359.0,1,1,2013-05-27,4,173,4,30,3.0,6,41.0,4,5,1,4.0,7,0,0,0,0,0,0,0,47,257.0,14.0,2,95.13,46.47,43.13,2.59,at Risk Customers
5255,Bachelor,Single,51382.0,1,0,2013-02-20,19,5,1,3,3.0,81,126.5,0,12,0,0.0,1,0,0,0,0,0,0,0,37,637.0,27.0,1,80.71,94.64,60.19,3.65,New Customers
9422,Bachelor,Married,38360.0,1,0,2013-05-31,26,36,2,42,20.0,21,10.0,2,2,1,4.0,3,0,0,0,0,0,0,0,34,131.0,9.0,1,73.57,31.32,35.03,1.99,at Risk Customers
1966,Doctor,Married,84618.0,0,0,2013-11-22,96,684,81,556,21.0,66,0.0,1,6,9,10.0,2,0,0,1,0,0,0,0,58,1672.0,26.0,0,3.23,92.28,93.12,3.97,New Customers
